CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;19;0.235;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;20;0.463;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;21;0.375;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;22;0.284;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;23;0.191;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;24;0.189;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;1;0.255;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;2;0.299;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;3;0.208;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;4;0.372;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;5;0.052;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;6;0.14;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;7;0.481;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;8;0.083;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;9;0.239;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;10;0.022;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;11;0.488;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;12;0.037;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;13;0.463;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;14;0.305;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;15;0.235;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;16;0.401;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;17;0.223;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;18;0.187;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;19;0.35;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;20;0.492;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;21;0.165;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;22;0.071;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;23;0.21;R
ESXXXXXXXXXXXXXXXXXXXX;07/01/2023;24;0.36;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;1;0.443;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;2;0.247;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;3;0.391;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;4;0.055;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;5;0.075;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;6;0.099;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;7;0.496;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;8;0.155;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;9;0.346;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;10;0.492;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;11;0.173;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;12;0.439;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;13;0.021;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;14;0.075;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;15;0.438;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;16;0.197;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;17;0.176;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;18;0.152;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;19;0.114;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;20;0.383;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;21;0.488;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;22;0.364;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;23;0.033;R
ESXXXXXXXXXXXXXXXXXXXX;08/01/2023;24;0.186;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;1;0.171;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;2;0.173;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;3;0.327;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;4;0.452;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;5;0.111;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;6;0.039;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;7;0.25;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;8;0.246;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;9;0.092;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;10;0.437;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;11;0.302;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;12;0.293;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;13;0.395;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;14;0.086;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;15;0.131;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;16;0.298;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;17;0.026;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;18;0.152;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;19;0.314;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;20;0.178;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;21;0.439;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;22;0.367;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;23;0.163;R
ESXXXXXXXXXXXXXXXXXXXX;09/01/2023;24;0.035;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;1;0.382;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;2;0.479;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;3;0.105;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;4;0.128;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;5;0.079;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;6;0.146;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;7;0.251;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;8;0.35;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;9;0.176;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;10;0.053;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;11;0.176;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;12;0.147;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;13;0.094;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;14;0.223;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;15;0.214;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;16;0.362;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;17;0.318;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;18;0.375;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;19;0.453;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;20;0.28;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;21;0.383;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;22;0.264;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;23;0.304;R
ESXXXXXXXXXXXXXXXXXXXX;10/01/2023;24;0.399;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;1;0.454;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;2;0.161;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;3;0.29;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;4;0.199;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;5;0.05;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;6;0.094;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;7;0.127;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;8;0.332;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;9;0.379;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;10;0.238;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;11;0.454;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;12;0.085;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;13;0.042;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;14;0.083;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;15;0.298;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;16;0.336;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;17;0.278;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;18;0.382;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;19;0.217;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;20;0.417;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;21;0.495;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;22;0.382;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;23;0.088;R
ESXXXXXXXXXXXXXXXXXXXX;11/01/2023;24;0.228;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;1;0.157;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;2;0.426;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;3;0.355;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;4;0.433;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;5;0.426;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;6;0.434;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;7;0.433;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;8;0.217;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;9;0.02;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;10;0.099;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;11;0.218;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;12;0.129;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;13;0.116;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;14;0.34;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;15;0.312;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;16;0.362;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;17;0.211;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;18;0.462;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;19;0.458;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;20;0.18;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;21;0.041;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;22;0.219;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;23;0.326;R
ESXXXXXXXXXXXXXXXXXXXX;12/01/2023;24;0.399;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;1;0.388;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;2;0.134;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;3;0.261;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;4;0.323;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;5;0.113;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;6;0.285;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;7;0.329;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;8;0.25;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;9;0.341;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;10;0.22;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;11;0.042;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;12;0.318;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;13;0.073;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;14;0.405;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;15;0.083;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;16;0.397;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;17;0.144;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;18;0.206;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;19;0.261;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;20;0.034;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;21;0.277;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;22;0.296;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;23;0.462;R
ESXXXXXXXXXXXXXXXXXXXX;13/01/2023;24;0.242;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;1;0.435;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;2;0.225;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;3;0.123;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;4;0.215;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;5;0.486;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;6;0.303;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;7;0.113;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;8;0.46;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;9;0.462;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;10;0.18;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;11;0.076;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;12;0.346;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;13;0.294;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;14;0.141;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;15;0.458;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;16;0.239;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;17;0.353;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;18;0.381;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;19;0.338;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;20;0.048;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;21;0.39;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;22;0.193;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;23;0.058;R
ESXXXXXXXXXXXXXXXXXXXX;14/01/2023;24;0.136;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;1;0.029;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;2;0.394;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;3;0.387;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;4;0.104;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;5;0.306;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;6;0.494;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;7;0.325;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;8;0.141;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;9;0.187;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;10;0.45;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;11;0.024;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;12;0.055;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;13;0.139;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;14;0.383;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;15;0.211;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;16;0.142;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;17;0.363;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;18;0.18;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;19;0.122;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;20;0.253;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;21;0.229;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;22;0.026;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;23;0.376;R
ESXXXXXXXXXXXXXXXXXXXX;15/01/2023;24;0.052;R
ESXXXXXXXXXXXXXXXXXXXX;16/01/2023;1;0.229;R
ESXXXXXXXXXXXXXXXXXXXX;16/01/2023;2;0.36;R
ESXXXXXXXXXXXXXXXXXXXX;16/01/2023;3;0.325;R
ESXXXXXXXXXXXXXXXXXXXX;16/01/2023;4;0.31;R
ESXXXXXXXXXXXXXXXXXXXX;16/01/2023;5;0.1;R
ESXXXXXXXXXXXXXXXXXXXX;16/01/2023;6;0.073;R
